REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,T,9.533e+09,401200,Зовнішні запозичення,168170000,141925.61,Ivano-Frankivsk
2021-01-31,T,9.533e+09,401202,Середньострокові зобов'язання,168170000,141925.61,Ivano-Frankivsk
2021-01-31,T,9.533e+09,402100,Внутрішні зобов'язання,-100000000,0,Ivano-Frankivsk
2021-01-31,C,9.533e+09,600000,Фінансування за активними операціями,-359232200,-62999845.43,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602000,Зміни обсягів бюджетних коштів,359232200,3519043.87,Ivano-Frankivsk
2021-01-31,C,9.533e+09,602200,На кінець періоду,0,128882633.44,Ivano-Frankivsk
2021-01-31,T,9.533e+09,602300,Інші розрахунки,0,-30806.29,Ivano-Frankivsk
2021-01-31,S,9.533e+09,401100,Внутрішні запозичення,500000000,0,Ivano-Frankivsk
2021-01-31,S,9.533e+09,600000,Фінансування за активними операціями,359232200,3519043.87,Ivano-Frankivsk
2021-01-31,T,9.533e+09,402000,Погашення,-132000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,402102,Середньострокові зобов'язання,-100000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,402200,Зовнішні зобов'язання,-32000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,602200,На кінець періоду,0,194652172.44,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602300,Інші розрахунки,0,-30806.29,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602304,Інші розрахунки,0,62914.31,Ivano-Frankivsk
2021-01-31,T,9.533e+09,602304,Інші розрахунки,0,62914.31,Ivano-Frankivsk
2021-01-31,C,9.533e+09,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-359232200,-30447000,Ivano-Frankivsk
2021-01-31,S,9.533e+09,400000,Фінансування за борговими операціями,536170000,141925.61,Ivano-Frankivsk
2021-01-31,S,9.533e+09,402102,Середньострокові зобов'язання,-100000000,0,Ivano-Frankivsk
2021-01-31,C,9.533e+09,602000,Зміни обсягів бюджетних коштів,-359232200,-62999845.43,Ivano-Frankivsk
2021-01-31,T,9.533e+09,400000,Фінансування за борговими операціями,536170000,141925.61,Ivano-Frankivsk
2021-01-31,S,9.533e+09,401102,Середньострокові зобов'язання,500000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,602000,Зміни обсягів бюджетних коштів,0,-59480801.56,Ivano-Frankivsk
2021-01-31,C,9.533e+09,602100,На початок періоду,0,96329788.01,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602200,На кінець періоду,0,65769539,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602301,Курсова різниця,0,-93720.6,Ivano-Frankivsk
2021-01-31,T,9.533e+09,401100,Внутрішні запозичення,500000000,0,Ivano-Frankivsk
2021-01-31,S,9.533e+09,402000,Погашення,-132000000,0,Ivano-Frankivsk
2021-01-31,S,9.533e+09,402100,Внутрішні зобов'язання,-100000000,0,Ivano-Frankivsk
2021-01-31,S,9.533e+09,402200,Зовнішні зобов'язання,-32000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,600000,Фінансування за активними операціями,0,-59480801.56,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602100,На початок періоду,0,38872389.16,Ivano-Frankivsk
2021-01-31,S,9.533e+09,401202,Середньострокові зобов'язання,168170000,141925.61,Ivano-Frankivsk
2021-01-31,S,9.533e+09,402202,Середньострокові зобов'язання,-32000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,602100,На початок періоду,0,135202177.17,Ivano-Frankivsk
2021-01-31,T,9.533e+09,602301,Курсова різниця,0,-93720.6,Ivano-Frankivsk
2021-01-31,S,9.533e+09,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",359232200,30447000,Ivano-Frankivsk
2021-01-31,T,9.533e+09,401000,Запозичення,668170000,141925.61,Ivano-Frankivsk
2021-01-31,S,2.0554e+10,602200,На кінець періоду,1021990296,49376641.21,Kharkiv
2021-01-31,T,2.0554e+10,601210,Розміщення бюджетних коштів на депозитах,-1026000000,-1026000000,Kharkiv
2021-01-31,S,2.0554e+10,602100,На початок періоду,1016370146,1016370146.99,Kharkiv
2021-01-31,S,2.0554e+10,602300,Інші розрахунки,0,30453384.08,Kharkiv
2021-01-31,C,2.0554e+10,602000,Зміни обсягів бюджетних коштів,-3985936239,-450653123.69,Kharkiv
2021-01-31,C,2.0554e+10,602100,На початок періоду,156099150,156099150.01,Kharkiv
2021-01-31,C,2.0554e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-3971246239,-54653768,Kharkiv
2021-01-31,S,2.0554e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",5620150,-1026000000,Kharkiv
2021-01-31,T,2.0554e+10,602100,На початок періоду,1172469296,1172469297,Kharkiv
2021-01-31,S,2.0554e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",1031620150,0,Kharkiv
2021-01-31,T,2.0554e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",1046310150,0,Kharkiv
2021-01-31,C,2.0554e+10,601110,Повернення бюджетних коштів з депозитів,14690000,0,Kharkiv
2021-01-31,T,2.0554e+10,601110,Повернення бюджетних коштів з депозитів,1046310150,0,Kharkiv
2021-01-31,S,2.0554e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-1026000000,-1026000000,Kharkiv
2021-01-31,S,2.0554e+10,601210,Розміщення бюджетних коштів на депозитах,-1026000000,-1026000000,Kharkiv
2021-01-31,C,2.0554e+10,602200,На кінець періоду,170789150,552098505.7,Kharkiv
2021-01-31,T,2.0554e+10,602304,Інші розрахунки,0,30453384.08,Kharkiv
2021-01-31,T,2.0554e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",20310150,-1026000000,Kharkiv
2021-01-31,S,2.0554e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",3971246239,54653768,Kharkiv
2021-01-31,T,2.0554e+10,600000,Фінансування за активними операціями,0,-424552465.83,Kharkiv
2021-01-31,C,2.0554e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",14690000,0,Kharkiv
2021-01-31,S,2.0554e+10,601110,Повернення бюджетних коштів з депозитів,1031620150,0,Kharkiv
2021-01-31,S,2.0554e+10,602000,Зміни обсягів бюджетних коштів,3965626089,1052100657.86,Kharkiv
2021-01-31,T,2.0554e+10,602000,Зміни обсягів бюджетних коштів,-20310150,601447534.17,Kharkiv
2021-01-31,T,2.0554e+10,602200,На кінець періоду,1192779446,601475146.91,Kharkiv
2021-01-31,C,2.0554e+10,600000,Фінансування за активними операціями,-3971246239,-450653123.69,Kharkiv
2021-01-31,T,2.0554e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-1026000000,-1026000000,Kharkiv
2021-01-31,C,2.0554e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",14690000,0,Kharkiv
2021-01-31,T,2.0554e+10,602300,Інші розрахунки,0,30453384.08,Kharkiv
2021-01-31,S,2.0554e+10,600000,Фінансування за активними операціями,3971246239,26100657.86,Kharkiv
2021-01-31,S,2.0554e+10,602304,Інші розрахунки,0,30453384.08,Kharkiv
2021-01-31,T,2.2564e+10,400000,Фінансування за борговими операціями,13786494.58,0,Khmelnytskyi
2021-01-31,C,2.2564e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-250290363,0,Khmelnytskyi
2021-01-31,C,2.2564e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",28000000,40000000,Khmelnytskyi
2021-01-31,C,2.2564e+10,602000,Зміни обсягів бюджетних коштів,-250290363,30463785.21,Khmelnytskyi
2021-01-31,T,2.2564e+10,602000,Зміни обсягів бюджетних коштів,0,29268386.98,Khmelnytskyi
2021-01-31,T,2.2564e+10,401200,Зовнішні запозичення,16535522.58,0,Khmelnytskyi
